Test loss: 0.0045, Test accuracy: 1.0000
Test loss: 0.0080, Test accuracy: 1.0000
Test loss: 0.0016, Test accuracy: 1.0000
Test loss: 0.0052, Test accuracy: 1.0000
Test loss: 0.0059, Test accuracy: 1.0000
Test loss: 0.0024, Test accuracy: 1.0000
Test loss: 0.0024, Test accuracy: 1.0000
Test loss: 0.0074, Test accuracy: 1.0000
Test loss: 0.0010, Test accuracy: 1.0000
Test loss: 0.0017, Test accuracy: 1.0000
Test loss: 0.0019, Test accuracy: 1.0000
Test loss: 0.0024, Test accuracy: 1.0000
Test loss: 0.0025, Test accuracy: 1.0000
Test loss: 0.0016, Test accuracy: 1.0000
Test loss: 0.0018, Test accuracy: 1.0000
Test loss: 0.0014, Test accuracy: 1.0000
Test loss: 0.0016, Test accuracy: 1.0000
Test loss: 0.0016, Test accuracy: 1.0000
Test loss: 0.0015, Test accuracy: 1.0000
Test loss: 0.0011, Test accuracy: 1.0000
