Test loss: 3.5210, Test accuracy: 0.2060
Test loss: 3.9906, Test accuracy: 0.0911
Test loss: 3.3524, Test accuracy: 0.2475
Test loss: 3.6061, Test accuracy: 0.2679
Test loss: 3.7147, Test accuracy: 0.1907
Test loss: 3.3109, Test accuracy: 0.1941
Test loss: 3.5024, Test accuracy: 0.2220
Test loss: 3.4320, Test accuracy: 0.1394
Test loss: 3.8459, Test accuracy: 0.2373
Test loss: 2.6768, Test accuracy: 0.2371
Test loss: 3.1972, Test accuracy: 0.1790
Test loss: 4.0547, Test accuracy: 0.1250
Test loss: 3.2600, Test accuracy: 0.1960
Test loss: 3.8371, Test accuracy: 0.1814
Test loss: 3.3122, Test accuracy: 0.2294
Test loss: 3.8728, Test accuracy: 0.1836
Test loss: 3.0481, Test accuracy: 0.2849
Test loss: 4.1407, Test accuracy: 0.1902
Test loss: 3.9656, Test accuracy: 0.1782
Test loss: 3.7594, Test accuracy: 0.1653
