Test loss: 1.3687, Test accuracy: 0.6555
Test loss: 0.4408, Test accuracy: 0.8368
Test loss: 1.0289, Test accuracy: 0.7014
Test loss: 1.0818, Test accuracy: 0.7059
Test loss: 0.1978, Test accuracy: 0.9170
Test loss: 0.5582, Test accuracy: 0.7976
Test loss: 0.7925, Test accuracy: 0.7681
Test loss: 1.0150, Test accuracy: 0.7033
Test loss: 0.2289, Test accuracy: 0.9043
Test loss: 0.6265, Test accuracy: 0.7780
Test loss: 0.6005, Test accuracy: 0.7967
Test loss: 0.7790, Test accuracy: 0.7462
Test loss: 0.1707, Test accuracy: 0.9236
Test loss: 0.7585, Test accuracy: 0.7796
Test loss: 0.4703, Test accuracy: 0.8215
Test loss: 0.9616, Test accuracy: 0.7240
Test loss: 0.4858, Test accuracy: 0.8081
Test loss: 0.6641, Test accuracy: 0.7692
Test loss: 0.7305, Test accuracy: 0.7764
Test loss: 0.2102, Test accuracy: 0.9098
