Test loss: 0.1236, Test accuracy: 0.9377
Test loss: 0.2954, Test accuracy: 0.8743
Test loss: 0.1859, Test accuracy: 0.9046
Test loss: 0.3661, Test accuracy: 0.8409
Test loss: 0.1684, Test accuracy: 0.9308
Test loss: 0.0849, Test accuracy: 0.9644
Test loss: 0.2413, Test accuracy: 0.8885
Test loss: 0.5018, Test accuracy: 0.7981
Test loss: 0.5506, Test accuracy: 0.8086
Test loss: 0.5089, Test accuracy: 0.8255
Test loss: 0.1845, Test accuracy: 0.9246
Test loss: 0.1476, Test accuracy: 0.9268
Test loss: 0.2569, Test accuracy: 0.8876
Test loss: 0.1894, Test accuracy: 0.8945
Test loss: 0.0834, Test accuracy: 0.9774
Test loss: 0.0817, Test accuracy: 0.9796
Test loss: 0.1180, Test accuracy: 0.9376
Test loss: 0.0834, Test accuracy: 0.9634
Test loss: 0.4688, Test accuracy: 0.8269
Test loss: 0.0910, Test accuracy: 0.9613
