Test loss: 0.8719, Test accuracy: 0.7529
Test loss: 0.5836, Test accuracy: 0.8185
Test loss: 0.5235, Test accuracy: 0.8212
Test loss: 0.4500, Test accuracy: 0.8433
Test loss: 0.4102, Test accuracy: 0.8544
Test loss: 0.5605, Test accuracy: 0.8285
Test loss: 0.5899, Test accuracy: 0.8082
Test loss: 0.9790, Test accuracy: 0.7415
Test loss: 0.2508, Test accuracy: 0.8989
Test loss: 0.5267, Test accuracy: 0.8268
Test loss: 0.6716, Test accuracy: 0.7996
Test loss: 0.6934, Test accuracy: 0.7843
Test loss: 0.6547, Test accuracy: 0.8033
Test loss: 0.4503, Test accuracy: 0.8497
Test loss: 0.5309, Test accuracy: 0.8228
Test loss: 0.5068, Test accuracy: 0.8293
Test loss: 0.6883, Test accuracy: 0.7917
Test loss: 0.3505, Test accuracy: 0.8709
Test loss: 0.4561, Test accuracy: 0.8426
Test loss: 0.4266, Test accuracy: 0.8474
