Test loss: 0.4128, Test accuracy: 0.8506
Test loss: 0.3134, Test accuracy: 0.8776
Test loss: 0.1981, Test accuracy: 0.9140
Test loss: 0.5661, Test accuracy: 0.8171
Test loss: 0.4700, Test accuracy: 0.8301
Test loss: 0.5263, Test accuracy: 0.8252
Test loss: 0.3472, Test accuracy: 0.8723
Test loss: 0.5715, Test accuracy: 0.8153
Test loss: 0.6411, Test accuracy: 0.8063
Test loss: 0.3511, Test accuracy: 0.8673
Test loss: 0.4702, Test accuracy: 0.8411
Test loss: 0.5002, Test accuracy: 0.8319
Test loss: 0.4775, Test accuracy: 0.8363
Test loss: 0.4560, Test accuracy: 0.8393
Test loss: 0.7511, Test accuracy: 0.7912
Test loss: 0.7259, Test accuracy: 0.7773
Test loss: 0.3891, Test accuracy: 0.8551
Test loss: 0.6196, Test accuracy: 0.7991
Test loss: 0.4798, Test accuracy: 0.8307
Test loss: 0.4952, Test accuracy: 0.8315
