Test loss: 2.7418, Test accuracy: 0.5766
Test loss: 2.7167, Test accuracy: 0.5701
Test loss: 2.1849, Test accuracy: 0.6141
Test loss: 1.5637, Test accuracy: 0.6836
Test loss: 1.9988, Test accuracy: 0.6359
Test loss: 2.2287, Test accuracy: 0.6290
Test loss: 1.7439, Test accuracy: 0.6527
Test loss: 2.5591, Test accuracy: 0.5894
Test loss: 1.5089, Test accuracy: 0.6877
Test loss: 1.9805, Test accuracy: 0.6399
Test loss: 2.8156, Test accuracy: 0.5714
Test loss: 1.6054, Test accuracy: 0.6638
Test loss: 2.1390, Test accuracy: 0.6144
Test loss: 1.8266, Test accuracy: 0.6449
Test loss: 1.8700, Test accuracy: 0.6472
Test loss: 2.4078, Test accuracy: 0.5986
Test loss: 2.1629, Test accuracy: 0.6233
Test loss: 2.0747, Test accuracy: 0.6388
Test loss: 1.7608, Test accuracy: 0.6535
Test loss: 2.4071, Test accuracy: 0.5982
