Test loss: 0.0363, Test accuracy: 0.9887
Test loss: 0.1243, Test accuracy: 0.9436
Test loss: 0.0233, Test accuracy: 0.9947
Test loss: 0.0352, Test accuracy: 0.9902
Test loss: 0.0414, Test accuracy: 0.9847
Test loss: 0.1463, Test accuracy: 0.9370
Test loss: 0.0178, Test accuracy: 0.9983
Test loss: 0.0151, Test accuracy: 1.0000
Test loss: 0.0208, Test accuracy: 0.9958
Test loss: 0.0339, Test accuracy: 0.9885
Test loss: 0.0549, Test accuracy: 0.9796
Test loss: 0.0571, Test accuracy: 0.9746
Test loss: 0.0261, Test accuracy: 0.9959
Test loss: 0.0176, Test accuracy: 0.9980
Test loss: 0.0720, Test accuracy: 0.9688
Test loss: 0.0328, Test accuracy: 0.9906
Test loss: 0.0594, Test accuracy: 0.9775
Test loss: 0.0748, Test accuracy: 0.9662
Test loss: 0.0426, Test accuracy: 0.9845
Test loss: 0.0637, Test accuracy: 0.9723
