Test loss: 1.3064, Test accuracy: 0.2818
Test loss: 1.3410, Test accuracy: 0.2454
Test loss: 2.2926, Test accuracy: 0.1456
Test loss: 2.4181, Test accuracy: 0.1702
Test loss: 2.4108, Test accuracy: 0.1485
Test loss: 2.2819, Test accuracy: 0.1662
Test loss: 2.2815, Test accuracy: 0.1575
Test loss: 2.2161, Test accuracy: 0.1635
Test loss: 2.4681, Test accuracy: 0.1248
Test loss: 2.3051, Test accuracy: 0.1398
Test loss: 2.3371, Test accuracy: 0.1742
Test loss: 2.2903, Test accuracy: 0.1646
Test loss: 2.3502, Test accuracy: 0.1373
Test loss: 2.5809, Test accuracy: 0.1236
Test loss: 2.4403, Test accuracy: 0.1860
Test loss: 2.3568, Test accuracy: 0.1572
Test loss: 2.3930, Test accuracy: 0.1327
Test loss: 2.3452, Test accuracy: 0.1214
Test loss: 2.3786, Test accuracy: 0.1654
Test loss: 2.1850, Test accuracy: 0.1795
Test loss: 2.3400, Test accuracy: 0.1530
Test loss: 2.2998, Test accuracy: 0.1495
