Test loss: 0.5143, Test accuracy: 0.8174
Test loss: 0.6966, Test accuracy: 0.7850
Test loss: 0.3412, Test accuracy: 0.8720
Test loss: 0.4091, Test accuracy: 0.8497
Test loss: 0.7915, Test accuracy: 0.7664
Test loss: 0.6967, Test accuracy: 0.7820
Test loss: 0.4536, Test accuracy: 0.8441
Test loss: 0.6696, Test accuracy: 0.7835
Test loss: 0.5212, Test accuracy: 0.8162
Test loss: 0.4606, Test accuracy: 0.8471
Test loss: 0.3332, Test accuracy: 0.8800
Test loss: 0.4625, Test accuracy: 0.8406
Test loss: 0.3787, Test accuracy: 0.8527
Test loss: 0.3602, Test accuracy: 0.8639
Test loss: 0.5244, Test accuracy: 0.8060
Test loss: 0.4299, Test accuracy: 0.8504
Test loss: 0.3204, Test accuracy: 0.8874
Test loss: 0.3196, Test accuracy: 0.8818
Test loss: 1.0767, Test accuracy: 0.7353
Test loss: 0.6846, Test accuracy: 0.8092
