Test loss: 0.2607, Test accuracy: 0.8815
Test loss: 0.1524, Test accuracy: 0.9276
Test loss: 0.1481, Test accuracy: 0.9237
Test loss: 0.4229, Test accuracy: 0.8479
Test loss: 0.2508, Test accuracy: 0.8893
Test loss: 0.1435, Test accuracy: 0.9269
Test loss: 0.0579, Test accuracy: 0.9788
Test loss: 0.2644, Test accuracy: 0.8879
Test loss: 0.2587, Test accuracy: 0.8848
Test loss: 0.1917, Test accuracy: 0.9101
Test loss: 0.2531, Test accuracy: 0.8927
Test loss: 0.1730, Test accuracy: 0.9200
Test loss: 0.0951, Test accuracy: 0.9545
Test loss: 0.3000, Test accuracy: 0.8797
Test loss: 0.2299, Test accuracy: 0.8952
Test loss: 0.4076, Test accuracy: 0.8642
Test loss: 0.1360, Test accuracy: 0.9306
Test loss: 0.3666, Test accuracy: 0.8630
Test loss: 0.1633, Test accuracy: 0.9160
Test loss: 0.1299, Test accuracy: 0.9328
