Test loss: 2.2467, Test accuracy: 0.0381
Test loss: 1.7129, Test accuracy: 0.1220
Test loss: 3.0067, Test accuracy: 0.0184
Test loss: 2.4753, Test accuracy: 0.0230
Test loss: 1.8780, Test accuracy: 0.0756
Test loss: 2.6709, Test accuracy: 0.0157
Test loss: 2.7583, Test accuracy: 0.0157
Test loss: 1.9930, Test accuracy: 0.0555
Test loss: 2.1275, Test accuracy: 0.0383
Test loss: 1.6919, Test accuracy: 0.1739
Test loss: 1.8433, Test accuracy: 0.1991
Test loss: 2.1468, Test accuracy: 0.0444
Test loss: 2.1830, Test accuracy: 0.0969
Test loss: 2.5083, Test accuracy: 0.0280
Test loss: 1.7739, Test accuracy: 0.1126
Test loss: 2.1254, Test accuracy: 0.0434
Test loss: 2.5882, Test accuracy: 0.0157
Test loss: 1.7412, Test accuracy: 0.0687
Test loss: 2.6188, Test accuracy: 0.0195
Test loss: 2.7273, Test accuracy: 0.0189
