Test loss: 0.3186, Test accuracy: 0.8561
Test loss: 0.3141, Test accuracy: 0.8580
Test loss: 0.2395, Test accuracy: 0.8945
Test loss: 0.3533, Test accuracy: 0.8439
Test loss: 0.2206, Test accuracy: 0.9129
Test loss: 0.2066, Test accuracy: 0.9228
Test loss: 0.0984, Test accuracy: 0.9747
Test loss: 0.1942, Test accuracy: 0.9277
Test loss: 0.2496, Test accuracy: 0.9017
Test loss: 0.3851, Test accuracy: 0.8356
Test loss: 0.4971, Test accuracy: 0.7849
Test loss: 0.5154, Test accuracy: 0.7795
Test loss: 0.4712, Test accuracy: 0.7953
Test loss: 0.4745, Test accuracy: 0.7927
Test loss: 0.3723, Test accuracy: 0.8388
Test loss: 0.5127, Test accuracy: 0.7820
Test loss: 0.3589, Test accuracy: 0.8408
Test loss: 0.4915, Test accuracy: 0.7835
Test loss: 0.3363, Test accuracy: 0.8588
Test loss: 0.2006, Test accuracy: 0.9145
