Test loss: 2.1156, Test accuracy: 0.0899
Test loss: 1.8579, Test accuracy: 0.1134
Test loss: 1.2979, Test accuracy: 0.5327
Test loss: 1.1444, Test accuracy: 0.6225
Test loss: 1.1572, Test accuracy: 0.5734
Test loss: 1.2423, Test accuracy: 0.5876
Test loss: 0.8516, Test accuracy: 0.6778
Test loss: 1.8560, Test accuracy: 0.1388
Test loss: 1.1493, Test accuracy: 0.5214
Test loss: 0.8151, Test accuracy: 0.6687
Test loss: 0.6364, Test accuracy: 0.7456
Test loss: 1.0714, Test accuracy: 0.5981
Test loss: 1.2133, Test accuracy: 0.5343
Test loss: 1.3246, Test accuracy: 0.4394
Test loss: 0.8600, Test accuracy: 0.6744
Test loss: 1.4130, Test accuracy: 0.4891
Test loss: 0.6582, Test accuracy: 0.7209
Test loss: 1.3687, Test accuracy: 0.3043
Test loss: 1.4449, Test accuracy: 0.5266
Test loss: 1.0803, Test accuracy: 0.5860
